IBRA - Carteira do Dia 05/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Explor Imóveis;SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,010;1,119;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.970.522.444;2,783;2,832;
Financ e Outros / Holdings Divers;SIMH3;SIMPAR;ON      NM;219.019.512;0,049;2,832;
Financ e Outros / Interms Financs;ABCB4;ABC BRASIL;PN      N2;81.152.113;0,074;19,465;
Financ e Outros / Interms Financs;BRSR6;BANRISUL;PNB     N1;202.536.440;0,129;19,465;
Financ e Outros / Interms Financs;BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,033;19,465;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,909;19,465;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;3,677;19,465;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;2,449;19,465;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.459.806.501;2,916;19,465;
Financ e Outros / Interms Financs;ITUB3;ITAUUNIBANCO;ON  EJ  N1;456.116.279;0,651;19,465;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;8,194;19,465;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,433;19,465;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,785;1,640;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,368;1,640;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,161;1,640;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,326;1,640;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,813;2,813;
Mats Básicos / Embalagens;RANI3;IRANI;ON      NM;98.773.072;0,030;0,030;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;330.827.092;0,063;1,631;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,525;1,631;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,043;1,631;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,218;13,733;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;204.441.277;0,072;13,733;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,343;13,733;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;13,100;13,733;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,086;0,194;
Mats Básicos / Químicos;UNIP6;UNIPAR;PNB;49.483.367;0,108;0,194;
Mats Básicos / Sid Metalurgia;FESA4;FERBASA;PN      N1;147.407.600;0,042;1,671;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,972;1,671;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;0,286;1,671;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,256;1,671;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,115;1,671;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,287;14,711;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,360;14,711;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;4,758;14,711;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;5,680;14,711;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,102;14,711;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.017.253;1,314;14,711;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,035;14,711;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,956;14,711;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,219;14,711;
Saúde/Comércio Distr.;BLAU3;BLAU;ON      NM;38.584.960;0,014;1,487;
