SMLL - Carteira do Dia 06/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;2,866;6,275;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,827;6,275;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,287;6,275;
Saúde/Comércio Distr.;BLAU3;BLAU;ON      NM;38.584.960;0,112;2,763;
Saúde/Comércio Distr.;PNVL3;DIMED;ON      NM;71.064.416;0,283;2,763;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;296.007.718;1,949;2,763;
Saúde/Comércio Distr.;PGMN3;PAGUE MENOS;ON      NM;234.333.051;0,419;2,763;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;2,122;4,865;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,977;4,865;
Saúde/SM Hosp An.Diag;ODPV3;ODONTOPREV;ON      NM;251.735.971;0,847;4,865;
Saúde/SM Hosp An.Diag;ONCO3;ONCOCLINICAS;ON      NM;1.054.759.992;0,743;4,865;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;279.655.194;0,176;4,865;
Tec.Informação/Programas Servs;BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,509;1,066;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;380.656.363;0,469;1,066;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;93.080.385;0,088;1,066;
Telecomunicação;DESK3;DESKTOP;ON      NM;34.770.090;0,156;0,156;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;2,857;6,608;
Utilidade Públ / Água Saneamento;ORVR3;ORIZON;ON      NM;54.399.873;1,109;6,608;
Utilidade Públ / Água Saneamento;SAPR11;SANEPAR;UNT     N2;201.077.478;2,642;6,608;
Utilidade Públ / Energ Elétrica;ALUP11;ALUPAR;UNT     N2;157.537.587;1,527;5,079;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,983;5,079;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;2,569;5,079;
Quantidade Teórica Total;;;;30.638.191.289;100,000;100,000
Redutor;;;;140.621.131,50043439
